STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,TOT_FLPOP_CO,ML_FLPOP_CO,FML_FLPOP_CO,AGRDE_10_FLPOP_CO,AGRDE_20_FLPOP_CO,AGRDE_30_FLPOP_CO,AGRDE_40_FLPOP_CO,AGRDE_50_FLPOP_CO,AGRDE_60_ABOVE_FLPOP_CO,TMZON_00_06_FLPOP_CO,TMZON_06_11_FLPOP_CO,TMZON_11_14_FLPOP_CO,TMZON_14_17_FLPOP_CO,TMZON_17_21_FLPOP_CO,TMZON_21_24_FLPOP_CO,MON_FLPOP_CO,TUES_FLPOP_CO,WED_FLPOP_CO,THUR_FLPOP_CO,FRI_FLPOP_CO,SAT_FLPOP_CO,SUN_FLPOP_CO
20222,11110,종로구,70354417,34131247,36223170,7750003,13041990,11015012,11422654,11418877,15705880,14097692,14450027,10913056,10912441,12426161,7555039,10172819,10434626,10388592,10399213,10443424,9590842,8924901
20222,11140,중구,60761908,30200849,30561060,5118436,10291870,12080988,11083444,9877066,12310103,11167306,12872713,10039006,9910245,10606543,6166096,9080701,9418335,9263944,9236151,9278679,7547905,6936194
20222,11170,용산구,66417298,31709827,34707471,8317034,10762412,13347677,11433308,9315565,13241303,17046491,13910898,8129669,8095387,10865863,8368986,9475466,9493667,9472014,9472674,9529391,9502325,9471763
20222,11200,성동구,75781813,35831945,39949868,10419054,13274096,13661572,12225797,10910002,15291293,18444106,15733298,9518934,9688662,13022503,9374314,10915797,10988623,10947545,10927063,10942631,10591350,10468803
20222,11215,광진구,94990472,44155077,50835395,14061042,18511880,15848086,14427726,13587912,18553827,26461894,19416078,10412686,10397450,15507532,12794833,13558809,13455478,13443639,13444078,13427126,13749128,13912213
20222,11230,동대문구,108112200,51445326,56666874,14586664,21817645,15555404,15389288,15186017,25577181,27921439,22721360,13186783,13009479,17581525,13691615,15565114,15570000,15509366,15480627,15396773,15259565,15330756
20222,11260,중랑구,100756172,47046034,53710137,13873761,13379137,15472029,15088412,16825842,26116990,28089531,20507703,11048160,11069602,16448325,13592852,14356637,14173529,14177909,14152727,14119711,14668097,15107563
20222,11290,성북구,121460249,55420242,66040007,21525718,20961905,16714506,18153285,17359987,26744847,32395870,24875731,13891552,14014357,20265366,16017374,17392426,17311553,17302347,17268920,17110026,17355679,17719298
20222,11305,강북구,98541307,45333564,53207742,13959928,13567919,12495992,14707676,15949825,27859968,26912417,20098536,11120699,11124863,16127829,13156963,14081234,13924175,13908384,13879527,13876072,14263954,14607962
20222,11320,도봉구,66497209,30827846,35669363,10523371,8018522,8640552,9743703,10723962,18847100,18218917,13682880,7443431,7445404,10825817,8880759,9488801,9382885,9360857,9362527,9313389,9638161,9950588
20222,11350,노원구,99530579,45826055,53704524,18877021,13617241,11940913,14798264,15276256,25020883,26422511,20267487,11453626,11566097,16706874,13113985,14190943,14074491,14068903,14028982,14000557,14452387,14714315
20222,11380,은평구,101619410,45708032,55911377,16742080,13024453,15211397,16137676,15285362,25218441,28883913,20917388,10893606,10820171,16241496,13862834,14509826,14338385,14321924,14283442,14234484,14780638,15150712
20222,11410,서대문구,95215685,43417509,51798176,14119308,17722239,15470899,15328197,13497935,19077109,24143872,19982880,11814331,11801050,15566548,11907005,13822744,13930893,13823925,13813547,13713714,13033577,13077285
20222,11440,마포구,116619704,53431300,63188403,16297033,23717119,22708248,19705658,14703142,19488503,28916006,23439341,14422180,14764093,20313723,14764363,16613032,16720223,16658783,16674472,16776008,16751260,16425927
