STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,VIATR_FCLTY_CO,PBLOFC_CO,BANK_CO,GEHSPT_CO,GNRL_HSPTL_CO,PARMACY_CO,KNDRGR_CO,ELESCH_CO,MSKUL_CO,HGSCHL_CO,UNIV_CO,DRTS_CO,SUPMK_CO,THEAT_CO,STAYNG_FCLTY_CO,ARPRT_CO,RLROAD_STATN_CO,BUS_TRMINL_CO,SUBWAY_STATN_CO,BUS_STTN_CO
20214,11410,서대문구,1909,52,47,2.0,5,139,18,19,12,8,181,1.0,5.0,5,15.0,,,,8,561
20213,11410,서대문구,1909,52,47,2.0,5,139,18,19,12,8,181,1.0,5.0,5,15.0,,,,8,561
20212,11410,서대문구,1909,52,47,2.0,5,139,18,19,12,8,181,1.0,5.0,5,15.0,,,,8,561
20211,11410,서대문구,1909,52,47,2.0,5,139,18,19,12,8,181,1.0,5.0,5,15.0,,,,8,561
20204,11410,서대문구,1909,52,47,2.0,5,139,18,19,12,8,181,1.0,5.0,5,15.0,,,,8,561
20231,11200,성동구,1693,65,54,1.0,5,144,12,23,10,10,53,,5.0,3,1.0,,,,19,485
20224,11440,마포구,2232,86,86,,2,187,19,24,12,10,50,,4.0,7,12.0,,,,26,639
20223,11440,마포구,2232,86,86,,2,187,19,24,12,10,50,,4.0,7,12.0,,,,26,639
20222,11440,마포구,2232,86,86,,2,187,19,24,12,10,50,,4.0,7,12.0,,,,26,639
20221,11440,마포구,2232,86,86,,2,187,19,24,12,10,50,,4.0,7,12.0,,,,26,639
20214,11440,마포구,2232,86,86,,2,187,19,24,12,10,50,,4.0,7,12.0,,,,26,639
20213,11440,마포구,2232,86,86,,2,187,19,24,12,10,50,,4.0,7,12.0,,,,26,639
20212,11440,마포구,2232,86,86,,2,187,19,24,12,10,50,,4.0,7,12.0,,,,26,639
20211,11440,마포구,2232,86,86,,2,187,19,24,12,10,50,,4.0,7,12.0,,,,26,639
20204,11440,마포구,2232,86,86,,2,187,19,24,12,10,50,,4.0,7,12.0,,,,26,639
20224,11200,성동구,1693,65,54,1.0,5,144,12,23,10,10,53,,5.0,3,1.0,,,,19,485
20223,11200,성동구,1693,65,54,1.0,5,144,12,23,10,10,53,,5.0,3,1.0,,,,19,485
20222,11200,성동구,1693,65,54,1.0,5,144,12,23,10,10,53,,5.0,3,1.0,,,,19,485
20221,11200,성동구,1693,65,54,1.0,5,144,12,23,10,10,53,,5.0,3,1.0,,,,19,485
20214,11200,성동구,1693,65,54,1.0,5,144,12,23,10,10,53,,5.0,3,1.0,,,,19,485
20213,11200,성동구,1693,65,54,1.0,5,144,12,23,10,10,53,,5.0,3,1.0,,,,19,485
20212,11200,성동구,1693,65,54,1.0,5,144,12,23,10,10,53,,5.0,3,1.0,,,,19,485
20211,11200,성동구,1693,65,54,1.0,5,144,12,23,10,10,53,,5.0,3,1.0,,,,19,485
20204,11200,성동구,1693,65,54,1.0,5,144,12,23,10,10,53,,5.0,3,1.0,,,,19,485
20224,11305,강북구,1843,59,25,1.0,8,162,16,12,12,7,14,1.0,4.0,3,1.0,,,,11,508
20223,11305,강북구,1843,59,25,1.0,8,162,16,12,12,7,14,1.0,4.0,3,1.0,,,,11,508
20222,11305,강북구,1843,59,25,1.0,8,162,16,12,12,7,14,1.0,4.0,3,1.0,,,,11,508
20221,11305,강북구,1843,59,25,1.0,8,162,16,12,12,7,14,1.0,4.0,3,1.0,,,,11,508
20214,11305,강북구,1843,59,25,1.0,8,162,16,12,12,7,14,1.0,4.0,3,1.0,,,,11,508
20213,11305,강북구,1843,59,25,1.0,8,162,16,12,12,7,14,1.0,4.0,3,1.0,,,,11,508
20212,11305,강북구,1843,59,25,1.0,8,162,16,12,12,7,14,1.0,4.0,3,1.0,,,,11,508
20211,11305,강북구,1843,59,25,1.0,8,162,16,12,12,7,14,1.0,4.0,3,1.0,,,,11,508
20204,11305,강북구,1843,59,25,1.0,8,162,16,12,12,7,14,1.0,4.0,3,1.0,,,,11,508
20224,11710,송파구,2810,99,130,2.0,15,360,34,41,27,20,14,,1.0,4,3.0,,,,30,413
20223,11710,송파구,2810,99,130,2.0,15,360,34,41,27,20,14,,1.0,4,3.0,,,,30,413
20222,11710,송파구,2810,99,130,2.0,15,360,34,41,27,20,14,,1.0,4,3.0,,,,30,413
20221,11710,송파구,2810,99,130,2.0,15,360,34,41,27,20,14,,1.0,4,3.0,,,,30,413
20214,11710,송파구,2810,99,130,2.0,15,360,34,41,27,20,14,,1.0,4,3.0,,,,30,413
20213,11710,송파구,2810,99,130,2.0,15,360,34,41,27,20,14,,1.0,4,3.0,,,,30,413
20212,11710,송파구,2810,99,130,2.0,15,360,34,41,27,20,14,,1.0,4,3.0,,,,30,413
20211,11710,송파구,2810,99,130,2.0,15,360,34,41,27,20,14,,1.0,4,3.0,,,,30,413
20204,11710,송파구,2810,99,130,2.0,15,360,34,41,27,20,14,,1.0,4,3.0,,,,30,413
20224,11650,서초구,2779,98,173,1.0,11,241,10,25,14,11,36,,7.0,2,3.0,,,1.0,21,718
20223,11650,서초구,2779,98,173,1.0,11,241,10,25,14,11,36,,7.0,2,3.0,,,1.0,21,718
20222,11650,서초구,2779,98,173,1.0,11,241,10,25,14,11,36,,7.0,2,3.0,,,1.0,21,718
20221,11650,서초구,2779,98,173,1.0,11,241,10,25,14,11,36,,7.0,2,3.0,,,1.0,21,718
20214,11650,서초구,2779,98,173,1.0,11,241,10,25,14,11,36,,7.0,2,3.0,,,1.0,21,718
20213,11650,서초구,2779,98,173,1.0,11,241,10,25,14,11,36,,7.0,2,3.0,,,1.0,21,718
20212,11650,서초구,2779,98,173,1.0,11,241,10,25,14,11,36,,7.0,2,3.0,,,1.0,21,718
20211,11650,서초구,2779,98,173,1.0,11,241,10,25,14,11,36,,7.0,2,3.0,,,1.0,21,718
20204,11650,서초구,2779,98,173,1.0,11,241,10,25,14,11,36,,7.0,2,3.0,,,1.0,21,718
20224,11110,종로구,2058,106,103,4.0,3,175,10,13,8,14,97,,8.0,9,30.0,,,,15,455
20223,11110,종로구,2058,106,103,4.0,3,175,10,13,8,14,97,,8.0,9,30.0,,,,15,455
20222,11110,종로구,2058,106,103,4.0,3,175,10,13,8,14,97,,8.0,9,30.0,,,,15,455
20221,11110,종로구,2058,106,103,4.0,3,175,10,13,8,14,97,,8.0,9,30.0,,,,15,455
20214,11110,종로구,2058,106,103,4.0,3,175,10,13,8,14,97,,8.0,9,30.0,,,,15,455
20213,11110,종로구,2058,106,103,4.0,3,175,10,13,8,14,97,,8.0,9,30.0,,,,15,455
20212,11110,종로구,2058,106,103,4.0,3,175,10,13,8,14,97,,8.0,9,30.0,,,,15,455
20211,11110,종로구,2058,106,103,4.0,3,175,10,13,8,14,97,,8.0,9,30.0,,,,15,455
20204,11110,종로구,2058,106,103,4.0,3,175,10,13,8,14,97,,8.0,9,30.0,,,,15,455
20224,11170,용산구,1504,125,65,1.0,2,116,11,15,9,13,32,,21.0,3,15.0,,,,17,383
20223,11170,용산구,1504,125,65,1.0,2,116,11,15,9,13,32,,21.0,3,15.0,,,,17,383
20222,11170,용산구,1504,125,65,1.0,2,116,11,15,9,13,32,,21.0,3,15.0,,,,17,383
20221,11170,용산구,1504,125,65,1.0,2,116,11,15,9,13,32,,21.0,3,15.0,,,,17,383
20214,11170,용산구,1504,125,65,1.0,2,116,11,15,9,13,32,,21.0,3,15.0,,,,17,383
20213,11170,용산구,1504,125,65,1.0,2,116,11,15,9,13,32,,21.0,3,15.0,,,,17,383
20212,11170,용산구,1504,125,65,1.0,2,116,11,15,9,13,32,,21.0,3,15.0,,,,17,383
20211,11170,용산구,1504,125,65,1.0,2,116,11,15,9,13,32,,21.0,3,15.0,,,,17,383
20204,11170,용산구,1504,125,65,1.0,2,116,11,15,9,13,32,,21.0,3,15.0,,,,17,383
20224,11215,광진구,1602,48,49,2.0,5,162,18,22,11,8,69,1.0,5.0,5,,,,1.0,11,331
20223,11215,광진구,1602,48,49,2.0,5,162,18,22,11,8,69,1.0,5.0,5,,,,1.0,11,331
20222,11215,광진구,1602,48,49,2.0,5,162,18,22,11,8,69,1.0,5.0,5,,,,1.0,11,331
20221,11215,광진구,1602,48,49,2.0,5,162,18,22,11,8,69,1.0,5.0,5,,,,1.0,11,331
20214,11215,광진구,1602,48,49,2.0,5,162,18,22,11,8,69,1.0,5.0,5,,,,1.0,11,331
20213,11215,광진구,1602,48,49,2.0,5,162,18,22,11,8,69,1.0,5.0,5,,,,1.0,11,331
20212,11215,광진구,1602,48,49,2.0,5,162,18,22,11,8,69,1.0,5.0,5,,,,1.0,11,331
20211,11215,광진구,1602,48,49,2.0,5,162,18,22,11,8,69,1.0,5.0,5,,,,1.0,11,331
20204,11215,광진구,1602,48,49,2.0,5,162,18,22,11,8,69,1.0,5.0,5,,,,1.0,11,331
20224,11470,양천구,1762,69,60,2.0,5,172,33,24,18,15,2,,,2,1.0,,,,6,414
20223,11470,양천구,1762,69,60,2.0,5,172,33,24,18,15,2,,,2,1.0,,,,6,414
20222,11470,양천구,1762,69,60,2.0,5,172,33,24,18,15,2,,,2,1.0,,,,6,414
20221,11470,양천구,1762,69,60,2.0,5,172,33,24,18,15,2,,,2,1.0,,,,6,414
20214,11470,양천구,1762,69,60,2.0,5,172,33,24,18,15,2,,,2,1.0,,,,6,414
20213,11470,양천구,1762,69,60,2.0,5,172,33,24,18,15,2,,,2,1.0,,,,6,414
20212,11470,양천구,1762,69,60,2.0,5,172,33,24,18,15,2,,,2,1.0,,,,6,414
20211,11470,양천구,1762,69,60,2.0,5,172,33,24,18,15,2,,,2,1.0,,,,6,414
20204,11470,양천구,1762,69,60,2.0,5,172,33,24,18,15,2,,,2,1.0,,,,6,414
20224,11620,관악구,2255,62,40,2.0,8,208,16,22,14,14,180,,6.0,2,13.0,,,,4,582
20223,11620,관악구,2255,62,40,2.0,8,208,16,22,14,14,180,,6.0,2,13.0,,,,4,582
20222,11620,관악구,2255,62,40,2.0,8,208,16,22,14,14,180,,6.0,2,13.0,,,,4,582
20221,11620,관악구,2255,62,40,2.0,8,208,16,22,14,14,180,,6.0,2,13.0,,,,4,582
20214,11620,관악구,2255,62,40,2.0,8,208,16,22,14,14,180,,6.0,2,13.0,,,,4,582
20213,11620,관악구,2255,62,40,2.0,8,208,16,22,14,14,180,,6.0,2,13.0,,,,4,582
20212,11620,관악구,2255,62,40,2.0,8,208,16,22,14,14,180,,6.0,2,13.0,,,,4,582
