STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,VIATR_FCLTY_CO,PBLOFC_CO,BANK_CO,GEHSPT_CO,GNRL_HSPTL_CO,PARMACY_CO,KNDRGR_CO,ELESCH_CO,MSKUL_CO,HGSCHL_CO,UNIV_CO,DRTS_CO,SUPMK_CO,THEAT_CO,STAYNG_FCLTY_CO,ARPRT_CO,RLROAD_STATN_CO,BUS_TRMINL_CO,SUBWAY_STATN_CO,BUS_STTN_CO
20213,11380,은평구,2144,68,38,1.0,11,206,31,30,15,18,5,,10.0,4,,,,,13,590
20212,11380,은평구,2144,68,38,1.0,11,206,31,30,15,18,5,,10.0,4,,,,,13,590
20211,11380,은평구,2144,68,38,1.0,11,206,31,30,15,18,5,,10.0,4,,,,,13,590
20204,11380,은평구,2144,68,38,1.0,11,206,31,30,15,18,5,,10.0,4,,,,,13,590
20224,11545,금천구,1320,42,49,1.0,6,119,12,20,9,5,1,,1.0,2,24.0,,,,4,408
20223,11545,금천구,1320,42,49,1.0,6,119,12,20,9,5,1,,1.0,2,24.0,,,,4,408
20222,11545,금천구,1320,42,49,1.0,6,119,12,20,9,5,1,,1.0,2,24.0,,,,4,408
20221,11545,금천구,1320,42,49,1.0,6,119,12,20,9,5,1,,1.0,2,24.0,,,,4,408
20214,11545,금천구,1320,42,49,1.0,6,119,12,20,9,5,1,,1.0,2,24.0,,,,4,408
20213,11545,금천구,1320,42,49,1.0,6,119,12,20,9,5,1,,1.0,2,24.0,,,,4,408
20212,11545,금천구,1320,42,49,1.0,6,119,12,20,9,5,1,,1.0,2,24.0,,,,4,408
20211,11545,금천구,1320,42,49,1.0,6,119,12,20,9,5,1,,1.0,2,24.0,,,,4,408
20204,11545,금천구,1320,42,49,1.0,6,119,12,20,9,5,1,,1.0,2,24.0,,,,4,408
20224,11590,동작구,1934,63,47,2.0,5,188,23,21,17,8,45,,4.0,2,8.0,,,,17,497
20223,11590,동작구,1934,63,47,2.0,5,188,23,21,17,8,45,,4.0,2,8.0,,,,17,497
20222,11590,동작구,1934,63,47,2.0,5,188,23,21,17,8,45,,4.0,2,8.0,,,,17,497
20221,11590,동작구,1934,63,47,2.0,5,188,23,21,17,8,45,,4.0,2,8.0,,,,17,497
20214,11590,동작구,1934,63,47,2.0,5,188,23,21,17,8,45,,4.0,2,8.0,,,,17,497
