STDR_YYQU_CD,ADSTRD_CD,ADSTRD_CD_NM,VIATR_FCLTY_CO,PBLOFC_CO,BANK_CO,GEHSPT_CO,GNRL_HSPTL_CO,PARMACY_CO,KNDRGR_CO,ELESCH_CO,MSKUL_CO,HGSCHL_CO,UNIV_CO,DRTS_CO,SUPMK_CO,THEAT_CO,STAYNG_FCLTY_CO,ARPRT_CO,RLROAD_STATN_CO,BUS_TRMINL_CO,SUBWAY_STATN_CO,BUS_STTN_CO
20204,11650531,서초4동,257,2.0,13.0,,1.0,31.0,2.0,2.0,1.0,,,,,1.0,,,,,,36.0
20204,11680521,논현1동,300,4.0,15.0,,4.0,42.0,,1.0,,,,,1.0,8.0,,,,,3.0,23.0
20204,11680656,도곡2동,118,7.0,23.0,,,10.0,2.0,1.0,1.0,2.0,,,,,,,,,3.0,25.0
20204,11710531,거여1동,48,2.0,,,,2.0,,1.0,,1.0,,,,,1.0,,,,1.0,6.0
20204,11710680,잠실3동,103,5.0,9.0,,,11.0,1.0,3.0,,1.0,,,,,,,,,,16.0
20204,11710510,풍납1동,48,3.0,,,1.0,6.0,1.0,1.0,,,,,,,,,,,,6.0
20204,11110710,숭인2동,89,4.0,3.0,,1.0,4.0,,,,,,,2.0,,3.0,,,,2.0,6.0
20204,11110690,창신3동,24,3.0,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,5.0
20204,11140625,다산동,86,3.0,4.0,,1.0,9.0,,1.0,1.0,1.0,,,,,1.0,,,,1.0,7.0
20204,11140665,동화동,47,3.0,1.0,,,5.0,,1.0,1.0,,,,,,,,,,2.0,4.0
20204,11140580,장충동,63,6.0,2.0,,,1.0,,1.0,,,3.0,,,1.0,2.0,,,,1.0,13.0
20204,11200590,금호1가동,88,2.0,,,,6.0,1.0,1.0,,1.0,,,,,,,,,1.0,45.0
20204,11200520,왕십리2동,63,2.0,,,,5.0,1.0,1.0,,,,,,,,,,,1.0,18.0
20204,11230536,용신동,231,10.0,8.0,1.0,4.0,20.0,1.0,1.0,1.0,1.0,,,1.0,,5.0,,,,5.0,41.0
20204,11230750,이문2동,71,2.0,,,,6.0,1.0,1.0,,,2.0,,,,,,,,1.0,17.0
20204,11230570,전농2동,102,2.0,2.0,,,12.0,3.0,3.0,2.0,1.0,27.0,,,,,,,,,15.0
20204,11230720,휘경1동,82,2.0,1.0,,,12.0,,,,,,,,,1.0,,,,3.0,18.0
20204,11260565,면목본동,168,4.0,2.0,,,18.0,1.0,2.0,,,,,13.0,,1.0,,,,1.0,30.0
20204,11260600,중화1동,79,2.0,1.0,,1.0,7.0,1.0,2.0,2.0,1.0,,,,,,,,,,14.0
20204,11290660,길음1동,129,3.0,4.0,,,10.0,2.0,3.0,1.0,1.0,,,1.0,,,,,,1.0,26.0
20204,11290780,장위3동,82,1.0,,,,5.0,1.0,2.0,1.0,,1.0,,1.0,,,,,,,39.0
20204,11350665,상계3?4동,107,4.0,1.0,,,9.0,3.0,2.0,,,1.0,,,,2.0,,,,1.0,11.0
20204,11350619,중계본동,95,5.0,2.0,,,7.0,3.0,2.0,,3.0,,,,,,,,,,21.0
20204,11380570,대조동,205,3.0,5.0,,1.0,24.0,,2.0,,2.0,,,,1.0,,,,,,32.0
20204,11380632,신사2동,82,4.0,,,,5.0,,3.0,1.0,1.0,,,,,,,,,1.0,35.0
20204,11410565,충현동,184,9.0,8.0,,,7.0,1.0,3.0,1.0,2.0,24.0,,,,,,,,3.0,58.0
20204,11440600,대흥동,209,5.0,5.0,,,18.0,,3.0,1.0,1.0,27.0,,,,3.0,,,,3.0,38.0
20204,11440690,망원1동,95,2.0,2.0,,,11.0,,,,,,,,,1.0,,,,,23.0
20204,11440710,연남동,52,2.0,1.0,,,2.0,1.0,,1.0,2.0,,,,,,,,,,23.0
20204,11440680,합정동,109,4.0,3.0,,,10.0,1.0,1.0,1.0,,,,,,,,,,,32.0
20204,11470580,신월3동,70,2.0,1.0,,,7.0,1.0,1.0,2.0,3.0,,,,,,,,,,8.0
20204,11500620,공항동,176,6.0,7.0,1.0,,11.0,1.0,2.0,2.0,,4.0,,,,,21.0,,,2.0,39.0
20204,11500540,화곡1동,226,3.0,2.0,,2.0,26.0,,2.0,1.0,,,,,1.0,,,,,2.0,27.0
