STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,STOR_CO,SIMILR_INDUTY_STOR_CO,OPBIZ_RT,OPBIZ_STOR_CO,CLSBIZ_RT,CLSBIZ_STOR_CO,FRC_STOR_CO
20202,11470,양천구,CS300026,완구,37.0,37.0,0.0,0.0,0.0,0.0,0.0
20202,11470,양천구,CS300025,자전거 및 기타운송장비,35.0,35.0,0.0,0.0,2.9,1.0,0.0
20202,11470,양천구,CS300024,운동/경기용품,113.0,113.0,0.0,0.0,2.7,3.0,0.0
20202,11470,양천구,CS300023,미용재료,57.0,57.0,0.0,0.0,0.0,0.0,0.0
20202,11470,양천구,CS300022,화장품,481.0,519.0,2.3,12.0,3.7,19.0,38.0
20202,11470,양천구,CS300021,문구,118.0,130.0,0.0,0.0,0.8,1.0,12.0
20202,11470,양천구,CS300020,서적,134.0,137.0,1.5,2.0,3.6,5.0,3.0
20202,11470,양천구,CS300019,의료기기,62.0,63.0,1.6,1.0,4.8,3.0,1.0
20202,11470,양천구,CS300018,의약품,245.0,266.0,1.5,4.0,1.1,3.0,21.0
20202,11470,양천구,CS300017,시계및귀금속,92.0,95.0,0.0,0.0,0.0,0.0,3.0
20202,11470,양천구,CS300016,안경,81.0,100.0,1.0,1.0,1.0,1.0,19.0
20202,11470,양천구,CS300015,가방,74.0,74.0,1.4,1.0,4.1,3.0,0.0
20202,11470,양천구,CS300014,신발,86.0,89.0,2.2,2.0,3.4,3.0,3.0
20202,11470,양천구,CS300013,유아의류,101.0,101.0,0.0,0.0,0.0,0.0,0.0
20202,11470,양천구,CS300012,한복점,7.0,7.0,0.0,0.0,0.0,0.0,0.0
20202,11470,양천구,CS300011,일반의류,899.0,906.0,1.9,17.0,2.4,22.0,7.0
20202,11470,양천구,CS300010,반찬가게,244.0,254.0,7.1,18.0,2.8,7.0,10.0
20202,11470,양천구,CS300009,청과상,171.0,173.0,7.5,13.0,2.9,5.0,2.0
20202,11470,양천구,CS300008,수산물판매,100.0,100.0,8.0,8.0,3.0,3.0,0.0
20202,11470,양천구,CS300007,육류판매,201.0,203.0,3.0,6.0,3.4,7.0,2.0
20202,11470,양천구,CS300006,미곡판매,63.0,63.0,1.6,1.0,3.2,2.0,0.0
20202,11470,양천구,CS300005,주류도매,16.0,16.0,0.0,0.0,0.0,0.0,0.0
20202,11470,양천구,CS300004,핸드폰,189.0,189.0,4.2,8.0,2.6,5.0,0.0
20202,11470,양천구,CS300003,컴퓨터및주변장치판매,156.0,156.0,3.2,5.0,1.3,2.0,0.0
20202,11470,양천구,CS300002,편의점,30.0,339.0,5.0,17.0,2.9,10.0,309.0
20202,11470,양천구,CS300001,슈퍼마켓,415.0,428.0,4.0,17.0,2.3,10.0,13.0
20202,11470,양천구,CS200047,가정용품임대,21.0,22.0,0.0,0.0,0.0,0.0,1.0
20202,11470,양천구,CS200046,의류임대,8.0,8.0,0.0,0.0,12.5,1.0,0.0
20202,11470,양천구,CS200045,비디오/서적임대,7.0,9.0,0.0,0.0,0.0,0.0,2.0
20202,11470,양천구,CS200044,여행사,76.0,76.0,0.0,0.0,0.0,0.0,0.0
20202,11470,양천구,CS200043,건축물청소,108.0,110.0,5.5,6.0,0.9,1.0,2.0
20202,11470,양천구,CS200042,통번역서비스,25.0,25.0,4.0,1.0,0.0,0.0,0.0
20202,11470,양천구,CS200041,사진관,94.0,95.0,4.2,4.0,4.2,4.0,1.0
20202,11470,양천구,CS200040,녹음실,15.0,15.0,0.0,0.0,0.0,0.0,0.0
20202,11470,양천구,CS200039,DVD방,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20202,11470,양천구,CS200038,독서실,109.0,141.0,2.1,3.0,5.0,7.0,32.0
20202,11470,양천구,CS200037,노래방,256.0,265.0,1.5,4.0,3.4,9.0,9.0
20202,11470,양천구,CS200036,고시원,4.0,4.0,25.0,1.0,0.0,0.0,0.0
20202,11470,양천구,CS200035,게스트하우스,1.0,1.0,100.0,1.0,0.0,0.0,0.0
20202,11470,양천구,CS200034,여관,25.0,25.0,8.0,2.0,8.0,2.0,0.0
20202,11470,양천구,CS200033,부동산중개업,1130.0,1130.0,3.7,42.0,1.0,11.0,0.0
20202,11470,양천구,CS200032,가전제품수리,124.0,124.0,5.6,7.0,0.8,1.0,0.0
20202,11470,양천구,CS200031,세탁소,170.0,225.0,2.7,6.0,1.3,3.0,55.0
20202,11470,양천구,CS200030,피부관리실,193.0,202.0,5.4,11.0,4.0,8.0,9.0
20202,11470,양천구,CS200029,네일숍,136.0,143.0,7.0,10.0,3.5,5.0,7.0
20202,11470,양천구,CS200028,미용실,773.0,828.0,1.7,14.0,1.4,12.0,55.0
20202,11470,양천구,CS200027,모터사이클수리,21.0,21.0,4.8,1.0,4.8,1.0,0.0
20202,11470,양천구,CS200026,자동차미용,74.0,74.0,2.7,2.0,0.0,0.0,0.0
20202,11470,양천구,CS200025,자동차수리,189.0,205.0,0.0,0.0,2.0,4.0,16.0
20202,11470,양천구,CS200024,스포츠클럽,110.0,118.0,0.8,1.0,2.5,3.0,8.0
20202,11470,양천구,CS200023,통신기기수리,19.0,19.0,5.3,1.0,0.0,0.0,0.0
20202,11470,양천구,CS200022,복권방,19.0,19.0,0.0,0.0,10.5,2.0,0.0
20202,11470,양천구,CS200021,기타오락장,52.0,54.0,1.9,1.0,7.4,4.0,2.0
20202,11470,양천구,CS200020,전자게임장,9.0,9.0,0.0,0.0,0.0,0.0,0.0
20202,11470,양천구,CS200019,PC방,56.0,64.0,10.9,7.0,9.4,6.0,8.0
