STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,MT_AVRG_INCOME_AMT,INCOME_SCTN_CD,EXPNDTR_TOTAMT,FDSTFFS_EXPNDTR_TOTAMT,CLTHS_FTWR_EXPNDTR_TOTAMT,LVSPL_EXPNDTR_TOTAMT,MCP_EXPNDTR_TOTAMT,TRNSPORT_EXPNDTR_TOTAMT,EDC_EXPNDTR_TOTAMT,PLESR_EXPNDTR_TOTAMT,LSR_CLTUR_EXPNDTR_TOTAMT,ETC_EXPNDTR_TOTAMT,FD_EXPNDTR_TOTAMT
20233,11560,영등포구,3604887,7,215731617000,29385865000,3526379000,2895864000,24169172000,30433754000,3656005000,4672368000,46485943000,24484051000,46022216000
20233,11620,관악구,2771927,6,116550720000,30788776000,2372833000,1826355000,16405383000,3043507000,13905092000,5171720000,9165613000,4668652000,29202789000
20233,11320,도봉구,2785111,6,49527601000,15671955000,712606000,1071910000,6499044000,4886745000,2156658000,1405366000,2919512000,1806840000,12396965000
20233,11545,금천구,2632285,6,69932855000,16782758000,10154444000,1871825000,8943488000,3861740000,1506893000,1871314000,9552968000,2051886000,13335539000
20233,11590,동작구,3454170,7,179557875000,24565982000,942396000,1547206000,17238498000,97616190000,4427008000,2569399000,4913804000,3626092000,22111300000
20233,11350,노원구,3195375,7,120998486000,38999795000,1302048000,1425367000,17786064000,4176736000,9343891000,3210056000,13025192000,4990272000,26739065000
20233,11410,서대문구,3417706,7,109319352000,17763610000,1195616000,785285000,54092455000,2562931000,4061686000,1923249000,4371078000,3314696000,19248746000
20233,11650,서초구,4912401,9,571300479000,23763470000,4510247000,15585652000,65040535000,6569973000,13668249000,5150110000,214749588000,175949092000,46313563000
20233,11260,중랑구,2598785,6,66346705000,19712342000,1107156000,1623839000,10417994000,4714388000,2789052000,2872192000,3867544000,2569468000,16672730000
20233,11290,성북구,3281773,7,80770253000,22699671000,1351714000,1344911000,10821275000,5863865000,4515943000,2389771000,7036466000,3186886000,21559751000
20233,11500,강서구,3160623,7,210007744000,35190070000,5669654000,2332047000,31555804000,34321649000,6632271000,4834875000,36041133000,17084938000,36345303000
20233,11710,송파구,3995905,8,196510343000,40510292000,6148109000,4368213000,39642895000,9924755000,10531602000,5249058000,26626658000,7936421000,45572340000
20233,11200,성동구,3734499,7,85286629000,21766199000,3515488000,1426909000,13015712000,5772030000,2874929000,2663376000,5069386000,4312111000,24870489000
20233,11305,강북구,2547460,6,59835477000,15703398000,1362069000,1279584000,10265055000,3380329000,1711322000,2776146000,3666574000,2612117000,17078883000
20233,11470,양천구,3796034,8,108660173000,28009468000,1151707000,1395926000,20405887000,6207777000,13918495000,2119753000,10964574000,3908550000,20578036000
20233,11110,종로구,3725859,7,319674221000,16268254000,4484784000,1215886000,21309049000,5815414000,5813530000,4644207000,129570925000,87128049000,43424123000
20233,11170,용산구,3971498,8,255881883000,142450317000,2800786000,11153839000,5206682000,2150850000,1420011000,3371343000,29572897000,25687660000,32067498000
20233,11230,동대문구,3030256,7,90241899000,26238605000,2278383000,1771945000,21466618000,5708199000,2989950000,2222670000,4706953000,2399524000,20459052000
20233,11380,은평구,2912739,6,89028461000,21873400000,3864406000,2024730000,19000701000,4632649000,4967756000,3058593000,4819946000,3703286000,21082994000
20233,11680,강남구,4943841,9,2551815171000,45897752000,29800659000,8240324000,130519803000,30226576000,39329244000,11013580000,1326297747000,845395284000,85094202000
20233,11740,강동구,3292857,7,153241649000,24208850000,1773246000,1669301000,19985175000,3824884000,6352714000,2769273000,65217804000,3854003000,23586399000
20233,11140,중구,3513603,7,2513872526000,42385462000,7118194000,7158378000,13549887000,396041979000,25519625000,3267237000,1920666279000,63922655000,34242830000
20191,11170,용산구,4085781,8,209796299000,102207578000,1955405000,17207802000,3285343000,6669113000,1310382000,3413744000,30287570000,21355159000,22104203000
20191,11590,동작구,3596409,7,136639802000,17213965000,1031620000,848530000,12705265000,71390047000,4423610000,2576794000,4795767000,2976695000,18677509000
20191,11650,서초구,5127603,9,382564641000,18843420000,5133036000,2353203000,46916075000,8297518000,13132179000,6862469000,105361786000,133577976000,42086979000
20191,11230,동대문구,3103926,7,68779860000,15092654000,4257773000,1497051000,16610388000,4791705000,2198068000,2465806000,3597098000,1925314000,16344003000
20191,11290,성북구,3382636,7,63057623000,15872280000,1758047000,1320947000,7404378000,2686956000,4129709000,2122081000,7171325000,2479491000,18112409000
20191,11410,서대문구,3466211,7,90833464000,10024109000,1254177000,930594000,48238950000,1577157000,3085583000,2233810000,4054044000,2968822000,16466218000
20191,11500,강서구,3251146,7,206599612000,23257133000,2236386000,2201321000,17565896000,28907784000,5934858000,5273645000,74300517000,19372863000,27549209000
20191,11710,송파구,4126356,8,152836937000,31129340000,7544212000,5339783000,25786174000,6975994000,8250436000,5086347000,21393697000,7251811000,34079143000
20191,11215,광진구,3328285,7,73696147000,13832258000,3720159000,2223135000,7986540000,3443647000,3246204000,5011074000,6414308000,3445542000,24373280000
