자치구,행정동코드,행정동,Unnamed: 3,Unnamed: 4
마포구,11440660.0,서교동,,
마포구,11440660.0,서교동,,
마포구,11440720.0,성산제1동,,
마포구,11440730.0,성산제2동,,
마포구,11440730.0,성산제2동,,
마포구,11440630.0,신수동,,
마포구,11440630.0,신수동,,
마포구,11440630.0,신수동,,
마포구,11440630.0,신수동,,
마포구,11440630.0,신수동,,
마포구,11440555.0,아현동,,
마포구,11440555.0,아현동,,
마포구,11440555.0,아현동,,
마포구,11440710.0,연남동,,
마포구,11440610.0,염리동,,
마포구,11440590.0,용강동,,
마포구,11440590.0,용강동,,
마포구,11440590.0,용강동,,
마포구,11440590.0,용강동,,
마포구,11440590.0,용강동,,
마포구,11440590.0,용강동,,
마포구,11440680.0,합정동,,
서대문구,11410690.0,남가좌제1동,,
서대문구,11410700.0,남가좌제2동,,
서대문구,11410710.0,북가좌제1동,,
서대문구,11410720.0,북가좌제2동,,
서대문구,11410555.0,북아현동,,
서대문구,11410585.0,신촌동,,
서대문구,11410585.0,신촌동,,
서대문구,11410585.0,신촌동,,
서대문구,11410585.0,신촌동,,
서대문구,11410585.0,신촌동,,
서대문구,11410615.0,연희동,,
서대문구,11410520.0,천연동,,
서대문구,11410520.0,천연동,,
서대문구,11410520.0,천연동,,
서대문구,11410520.0,천연동,,
서대문구,11410520.0,천연동,,
서대문구,11410565.0,충현동,,
서대문구,11410565.0,충현동,,
서대문구,11410565.0,충현동,,
서대문구,11410565.0,충현동,,
서대문구,11410565.0,충현동,,
서대문구,11410660.0,홍은제1동,,
서대문구,11410685.0,홍은제2동,,
서대문구,11410620.0,홍제제1동,,
서대문구,11410655.0,홍제제2동,,
서대문구,11410640.0,홍제제3동,,
서초구,11650660.0,내곡동,,
서초구,11650660.0,내곡동,,
서초구,11650660.0,내곡동,,
서초구,11650560.0,반포1동,,
서초구,11650570.0,반포2동,,
서초구,11650580.0,반포3동,,
서초구,11650581.0,반포4동,,
서초구,11650550.0,반포본동,,
서초구,11650600.0,방배1동,,
서초구,11650610.0,방배2동,,
서초구,11650620.0,방배3동,,
서초구,11650621.0,방배4동,,
서초구,11650590.0,방배본동,,
서초구,11650510.0,서초1동,,
서초구,11650520.0,서초2동,,
서초구,11650530.0,서초3동,,
서초구,11650530.0,서초3동,,
서초구,11650531.0,서초4동,,
서초구,11650651.0,양재1동,,
서초구,11650651.0,양재1동,,
서초구,11650652.0,양재2동,,
서초구,11650652.0,양재2동,,
서초구,11650540.0,잠원동,,
성동구,11200590.0,금호1가동,,
성동구,11200615.0,금호2.3가동,,
성동구,11200615.0,금호2.3가동,,
성동구,11200620.0,금호4가동,,
성동구,11200540.0,마장동,,
성동구,11200550.0,사근동,,
성동구,11200550.0,사근동,,
성동구,11200650.0,성수1가제1동,,
성동구,11200660.0,성수1가제2동,,
성동구,11200670.0,성수2가제1동,,
성동구,11200690.0,성수2가제3동,,
성동구,11200720.0,송정동,,
성동구,11200645.0,옥수동,,
성동구,11200535.0,왕십리도선동,,
성동구,11200535.0,왕십리도선동,,
성동구,11200535.0,왕십리도선동,,
성동구,11200535.0,왕십리도선동,,
성동구,11200520.0,왕십리제2동,,
성동구,11200790.0,용답동,,
성동구,11200790.0,용답동,,
성동구,11200580.0,응봉동,,
성동구,11200560.0,행당제1동,,
성동구,11200570.0,행당제2동,,
성북구,11290660.0,길음제1동,,
성북구,11290685.0,길음제2동,,
성북구,11290685.0,길음제2동,,
성북구,11290580.0,돈암제1동,,
성북구,11290590.0,돈암제2동,,
성북구,11290575.0,동선동,,
성북구,11290575.0,동선동,,
성북구,11290575.0,동선동,,
성북구,11290575.0,동선동,,
성북구,11290575.0,동선동,,
성북구,11290575.0,동선동,,
성북구,11290575.0,동선동,,
성북구,11290575.0,동선동,,
성북구,11290610.0,보문동,,
성북구,11290610.0,보문동,,
성북구,11290610.0,보문동,,
성북구,11290610.0,보문동,,
성북구,11290610.0,보문동,,
성북구,11290610.0,보문동,,
성북구,11290610.0,보문동,,
성북구,11290555.0,삼선동,,
성북구,11290555.0,삼선동,,
성북구,11290555.0,삼선동,,
성북구,11290555.0,삼선동,,
성북구,11290555.0,삼선동,,
성북구,11290555.0,삼선동,,
성북구,11290555.0,삼선동,,
성북구,11290555.0,삼선동,,
성북구,11290555.0,삼선동,,
성북구,11290810.0,석관동,,
성북구,11290525.0,성북동,,
성북구,11290525.0,성북동,,
성북구,11290525.0,성북동,,
성북구,11290525.0,성북동,,
성북구,11290600.0,안암동,,
성북구,11290600.0,안암동,,
성북구,11290600.0,안암동,,
성북구,11290600.0,안암동,,
성북구,11290600.0,안암동,,
성북구,11290715.0,월곡제1동,,
성북구,11290725.0,월곡제2동,,
성북구,11290725.0,월곡제2동,,
성북구,11290760.0,장위제1동,,
성북구,11290770.0,장위제2동,,
성북구,11290780.0,장위제3동,,
성북구,11290620.0,정릉제1동,,
성북구,11290630.0,정릉제2동,,
성북구,11290630.0,정릉제2동,,
성북구,11290640.0,정릉제3동,,
성북구,11290650.0,정릉제4동,,
성북구,11290705.0,종암동,,
송파구,11710631.0,가락1동,,
송파구,11710632.0,가락2동,,
송파구,11710620.0,가락본동,,
송파구,11710531.0,거여1동,,
송파구,11710532.0,거여2동,,
송파구,11710540.0,마천1동,,
송파구,11710550.0,마천2동,,
송파구,11710641.0,문정1동,,
송파구,11710642.0,문정2동,,
송파구,11710642.0,문정2동,,
송파구,11710561.0,방이1동,,
송파구,11710562.0,방이2동,,
송파구,11710610.0,삼전동,,
송파구,11710600.0,석촌동,,
송파구,11710580.0,송파1동,,
송파구,11710590.0,송파2동,,
송파구,11710570.0,오금동,,
송파구,11710566.0,오륜동,,
송파구,11710670.0,잠실2동,,
송파구,11710680.0,잠실3동,,
송파구,11710690.0,잠실4동,,
송파구,11710710.0,잠실6동,,
송파구,11710720.0,잠실7동,,
송파구,11710650.0,잠실본동,,
송파구,11710646.0,장지동,,
송파구,11710646.0,장지동,,
송파구,11710510.0,풍납1동,,
송파구,11710520.0,풍납2동,,
양천구,11470510.0,목1동,,
양천구,11470520.0,목2동,,
양천구,11470530.0,목3동,,
양천구,11470540.0,목4동,,
양천구,11470550.0,목5동,,
양천구,11470560.0,신월1동,,
양천구,11470570.0,신월2동,,
양천구,11470580.0,신월3동,,
양천구,11470590.0,신월4동,,
양천구,11470600.0,신월5동,,
양천구,11470610.0,신월6동,,
양천구,11470611.0,신월7동,,
양천구,11470620.0,신정1동,,
양천구,11470630.0,신정2동,,
양천구,11470640.0,신정3동,,
양천구,11470650.0,신정4동,,
양천구,11470670.0,신정6동,,
양천구,11470680.0,신정7동,,
영등포구,11560550.0,당산제1동,,
영등포구,11560550.0,당산제1동,,
영등포구,11560550.0,당산제1동,,
영등포구,11560560.0,당산제2동,,
영등포구,11560560.0,당산제2동,,
영등포구,11560560.0,당산제2동,,
영등포구,11560560.0,당산제2동,,
영등포구,11560700.0,대림제1동,,
영등포구,11560710.0,대림제2동,,
영등포구,11560720.0,대림제3동,,
영등포구,11560585.0,도림동,,
영등포구,11560605.0,문래동,,
영등포구,11560605.0,문래동,,
영등포구,11560605.0,문래동,,
영등포구,11560605.0,문래동,,
영등포구,11560605.0,문래동,,
영등포구,11560605.0,문래동,,
영등포구,11560630.0,신길제1동,,
영등포구,11560650.0,신길제3동,,
영등포구,11560660.0,신길제4동,,
영등포구,11560670.0,신길제5동,,
영등포구,11560670.0,신길제5동,,
영등포구,11560680.0,신길제6동,,
영등포구,11560690.0,신길제7동,,
영등포구,11560610.0,양평제1동,,
영등포구,11560610.0,양평제1동,,
영등포구,11560610.0,양평제1동,,
영등포구,11560620.0,양평제2동,,
영등포구,11560620.0,양평제2동,,
영등포구,11560620.0,양평제2동,,
영등포구,11560620.0,양평제2동,,
영등포구,11560620.0,양평제2동,,
영등포구,11560620.0,양평제2동,,
영등포구,11560540.0,여의동,,
영등포구,11560535.0,영등포동,,
영등포구,11560535.0,영등포동,,
영등포구,11560535.0,영등포동,,
영등포구,11560535.0,영등포동,,
영등포구,11560535.0,영등포동,,
영등포구,11560535.0,영등포동,,
영등포구,11560535.0,영등포동,,
영등포구,11560535.0,영등포동,,
영등포구,11560535.0,영등포동,,
영등포구,11560515.0,영등포본동,,
영등포구,11560515.0,영등포본동,,
용산구,11170530.0,남영동,,
용산구,11170530.0,남영동,,
용산구,11170530.0,남영동,,
용산구,11170530.0,남영동,,
용산구,11170700.0,보광동,,
용산구,11170690.0,서빙고동,,
용산구,11170690.0,서빙고동,,
용산구,11170690.0,서빙고동,,
용산구,11170690.0,서빙고동,,
용산구,11170590.0,용문동,,
용산구,11170590.0,용문동,,
용산구,11170520.0,용산2가동,,
용산구,11170520.0,용산2가동,,
용산구,11170560.0,원효로제1동,,
용산구,11170560.0,원효로제1동,,
용산구,11170560.0,원효로제1동,,
용산구,11170560.0,원효로제1동,,
용산구,11170570.0,원효로제2동,,
용산구,11170570.0,원효로제2동,,
용산구,11170570.0,원효로제2동,,
용산구,11170570.0,원효로제2동,,
용산구,11170570.0,원효로제2동,,
용산구,11170630.0,이촌제1동,,
용산구,11170640.0,이촌제2동,,
용산구,11170650.0,이태원1동,,
용산구,11170660.0,이태원2동,,
용산구,11170555.0,청파동,,
용산구,11170555.0,청파동,,
용산구,11170555.0,청파동,,
용산구,11170555.0,청파동,,
용산구,11170625.0,한강로동,,
용산구,11170625.0,한강로동,,
용산구,11170625.0,한강로동,,
용산구,11170625.0,한강로동,,
용산구,11170625.0,한강로동,,
용산구,11170685.0,한남동,,
용산구,11170580.0,효창동,,
용산구,11170510.0,후암동,,
은평구,11380551.0,갈현제1동,,
은평구,11380552.0,갈현제2동,,
은평구,11380560.0,구산동,,
은평구,11380510.0,녹번동,,
은평구,11380570.0,대조동,,
은평구,11380520.0,불광제1동,,
은평구,11380530.0,불광제2동,,
은평구,11380650.0,수색동,,
은평구,11380631.0,신사제1동,,
은평구,11380632.0,신사제2동,,
은평구,11380625.0,역촌동,,
은평구,11380580.0,응암제1동,,
은평구,11380590.0,응암제2동,,
은평구,11380600.0,응암제3동,,
은평구,11380640.0,증산동,,
은평구,11380690.0,진관동,,
종로구,11110600.0,가회동,,
종로구,11110600.0,가회동,,
종로구,11110600.0,가회동,,
종로구,11110600.0,가회동,,
종로구,11110580.0,교남동,,
종로구,11110580.0,교남동,,
종로구,11110580.0,교남동,,
종로구,11110580.0,교남동,,
종로구,11110580.0,교남동,,
종로구,11110580.0,교남동,,
종로구,11110660.0,명륜3가동,,
종로구,11110570.0,무악동,,
종로구,11110550.0,부암동,,
종로구,11110550.0,부암동,,
종로구,11110550.0,부암동,,
종로구,11110530.0,사직동,,
종로구,11110530.0,사직동,,
종로구,11110530.0,사직동,,
종로구,11110530.0,사직동,,
종로구,11110530.0,사직동,,
종로구,11110530.0,사직동,,
종로구,11110530.0,사직동,,
종로구,11110530.0,사직동,,
종로구,11110530.0,사직동,,
종로구,11110530.0,사직동,,
종로구,11110530.0,사직동,,
종로구,11110530.0,사직동,,
종로구,11110540.0,삼청동,,
종로구,11110540.0,삼청동,,
종로구,11110540.0,삼청동,,
종로구,11110540.0,삼청동,,
종로구,11110540.0,삼청동,,
종로구,11110540.0,삼청동,,
종로구,11110540.0,삼청동,,
종로구,11110700.0,숭인제1동,,
종로구,11110710.0,숭인제2동,,
종로구,11110640.0,이화동,,
종로구,11110640.0,이화동,,
종로구,11110640.0,이화동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110615.0,종로1.2.3.4가동,,
종로구,11110630.0,종로5.6가동,,
종로구,11110630.0,종로5.6가동,,
종로구,11110630.0,종로5.6가동,,
종로구,11110630.0,종로5.6가동,,
종로구,11110630.0,종로5.6가동,,
종로구,11110670.0,창신제1동,,
종로구,11110680.0,창신제2동,,
종로구,11110690.0,창신제3동,,
종로구,11110515.0,청운효자동,,
종로구,11110515.0,청운효자동,,
종로구,11110515.0,청운효자동,,
종로구,11110515.0,청운효자동,,
종로구,11110515.0,청운효자동,,
종로구,11110515.0,청운효자동,,
종로구,11110515.0,청운효자동,,
종로구,11110515.0,청운효자동,,
종로구,11110515.0,청운효자동,,
종로구,11110515.0,청운효자동,,
종로구,11110560.0,평창동,,
종로구,11110560.0,평창동,,
종로구,11110650.0,혜화동,,
종로구,11110650.0,혜화동,,
종로구,11110650.0,혜화동,,
종로구,11110650.0,혜화동,,
중구,11140590.0,광희동,,
중구,11140590.0,광희동,,
중구,11140590.0,광희동,,
중구,11140590.0,광희동,,
중구,11140590.0,광희동,,
중구,11140590.0,광희동,,
중구,11140590.0,광희동,,
중구,11140590.0,광희동,,
중구,11140590.0,광희동,,
중구,11140590.0,광희동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140550.0,명동,,
중구,11140520.0,소공동,,
중구,11140520.0,소공동,,
중구,11140520.0,소공동,,
중구,11140520.0,소공동,,
중구,11140520.0,소공동,,
중구,11140520.0,소공동,,
중구,11140520.0,소공동,,
중구,11140520.0,소공동,,
중구,11140520.0,소공동,,
중구,11140520.0,소공동,,
중구,11140520.0,소공동,,
중구,11140520.0,소공동,,
중구,11140610.0,신당제1동,,
중구,11140610.0,신당제1동,,
중구,11140610.0,신당제1동,,
중구,11140620.0,신당제2동,,
중구,11140630.0,신당제3동,,
중구,11140640.0,신당제4동,,
중구,11140650.0,신당제5동,,
중구,11140660.0,신당제6동,,
중구,11140605.0,을지로동,,
중구,11140605.0,을지로동,,
중구,11140605.0,을지로동,,
중구,11140605.0,을지로동,,
중구,11140605.0,을지로동,,
중구,11140605.0,을지로동,,
중구,11140605.0,을지로동,,
중구,11140605.0,을지로동,,
중구,11140605.0,을지로동,,
중구,11140605.0,을지로동,,
중구,11140580.0,장충동,,
중구,11140580.0,장충동,,
중구,11140580.0,장충동,,
중구,11140680.0,중림동,,
중구,11140680.0,중림동,,
중구,11140680.0,중림동,,
중구,11140680.0,중림동,,
중구,11140570.0,필동,,
중구,11140570.0,필동,,
중구,11140570.0,필동,,
중구,11140570.0,필동,,
중구,11140570.0,필동,,
중구,11140570.0,필동,,
중구,11140570.0,필동,,
중구,11140570.0,필동,,
중구,11140570.0,필동,,
중구,11140570.0,필동,,
중구,11140570.0,필동,,
중구,11140670.0,황학동,,
중구,11140540.0,회현동,,
중구,11140540.0,회현동,,
중구,11140540.0,회현동,,
중구,11140540.0,회현동,,
중구,11140540.0,회현동,,
중구,11140540.0,회현동,,
중구,11140540.0,회현동,,
중구,11140540.0,회현동,,
중구,11140540.0,회현동,,
중구,11140540.0,회현동,,
중랑구,11260655.0,망우본동,,
중랑구,11260660.0,망우제3동,,
중랑구,11260565.0,면목본동,,
중랑구,11260520.0,면목제2동,,
중랑구,11260575.0,면목제3.8동,,
중랑구,11260540.0,면목제4동,,
중랑구,11260550.0,면목제5동,,
중랑구,11260570.0,면목제7동,,
중랑구,11260620.0,묵제1동,,
중랑구,11260630.0,묵제2동,,
중랑구,11260580.0,상봉제1동,,
중랑구,11260590.0,상봉제2동,,
중랑구,11260680.0,신내1동,,
중랑구,11260690.0,신내2동,,
중랑구,11260600.0,중화제1동,,
중랑구,11260610.0,중화제2동,,
,,,,
,,,,
