STDR_YYQU_CD,ADSTRD_CD,ADSTRD_CD_NM,TRDAR_CHNGE_IX,TRDAR_CHNGE_IX_NM,OPR_SALE_MT_AVRG,CLS_SALE_MT_AVRG,SU_OPR_SALE_MT_AVRG,SU_CLS_SALE_MT_AVRG
20233,11290610,보문동,LH,상권확장,104,53,107,52
20232,11290610,보문동,LH,상권확장,101,52,106,52
20231,11290610,보문동,LH,상권확장,101,52,104,52
20233,11290620,정릉1동,LH,상권확장,105,52,107,52
20232,11290620,정릉1동,LH,상권확장,103,52,106,52
20231,11290620,정릉1동,LL,다이나믹,102,51,104,52
20233,11290630,정릉2동,LH,상권확장,105,54,107,52
20232,11290630,정릉2동,LH,상권확장,103,54,106,52
20231,11290630,정릉2동,LH,상권확장,103,53,104,52
20233,11290640,정릉3동,HH,정체,109,56,107,52
20232,11290640,정릉3동,HH,정체,107,56,106,52
20231,11290640,정릉3동,LH,상권확장,104,56,104,52
20233,11290650,정릉4동,LH,상권확장,101,55,107,52
20232,11290650,정릉4동,LH,상권확장,99,55,106,52
20231,11290650,정릉4동,LH,상권확장,97,55,104,52
20233,11290660,길음1동,LH,상권확장,106,57,107,52
20232,11290660,길음1동,LH,상권확장,105,57,106,52
20231,11290660,길음1동,LH,상권확장,103,56,104,52
20233,11290685,길음2동,LL,다이나믹,96,51,107,52
20232,11290685,길음2동,LL,다이나믹,95,51,106,52
20231,11290685,길음2동,LL,다이나믹,94,50,104,52
20233,11290705,종암동,HH,정체,109,53,107,52
20232,11290705,종암동,HH,정체,107,53,106,52
20231,11290705,종암동,HH,정체,105,53,104,52
20233,11290715,월곡1동,LL,다이나믹,103,50,107,52
20232,11290715,월곡1동,LL,다이나믹,101,50,106,52
20231,11290715,월곡1동,LL,다이나믹,100,50,104,52
20233,11290725,월곡2동,LH,상권확장,106,52,107,52
20232,11290725,월곡2동,LH,상권확장,104,52,106,52
20231,11290725,월곡2동,LL,다이나믹,103,51,104,52
20233,11290760,장위1동,LH,상권확장,99,53,107,52
20232,11290760,장위1동,LH,상권확장,97,52,106,52
20231,11290760,장위1동,LH,상권확장,96,52,104,52
20233,11290770,장위2동,HH,정체,129,55,107,52
20232,11290770,장위2동,HH,정체,128,55,106,52
20231,11290770,장위2동,HH,정체,125,55,104,52
20233,11290780,장위3동,LH,상권확장,101,59,107,52
20232,11290780,장위3동,LH,상권확장,100,59,106,52
20231,11290780,장위3동,LH,상권확장,98,59,104,52
20233,11290810,석관동,HH,정체,115,53,107,52
20232,11290810,석관동,HH,정체,113,53,106,52
20231,11290810,석관동,HH,정체,112,53,104,52
20233,11305534,삼양동,HL,상권축소,109,50,107,52
20232,11305534,삼양동,HL,상권축소,107,50,106,52
20231,11305534,삼양동,HL,상권축소,108,49,104,52
20233,11305535,미아동,LL,다이나믹,98,48,107,52
20232,11305535,미아동,LL,다이나믹,97,48,106,52
20231,11305535,미아동,LL,다이나믹,95,48,104,52
20233,11305545,송중동,LL,다이나믹,98,49,107,52
20232,11305545,송중동,LL,다이나믹,96,48,106,52
20231,11305545,송중동,LL,다이나믹,95,48,104,52
20233,11305555,송천동,HL,상권축소,112,50,107,52
20232,11305555,송천동,HL,상권축소,109,50,106,52
20231,11305555,송천동,HL,상권축소,107,50,104,52
20233,11305575,삼각산동,LL,다이나믹,93,48,107,52
20232,11305575,삼각산동,LL,다이나믹,90,48,106,52
20231,11305575,삼각산동,LL,다이나믹,89,47,104,52
20233,11305595,번1동,LL,다이나믹,101,46,107,52
20232,11305595,번1동,LL,다이나믹,100,46,106,52
20231,11305595,번1동,LL,다이나믹,99,46,104,52
20233,11305603,번2동,LL,다이나믹,104,51,107,52
20232,11305603,번2동,LL,다이나믹,103,51,106,52
20231,11305603,번2동,LL,다이나믹,100,51,104,52
20233,11305608,번3동,HL,상권축소,108,47,107,52
20232,11305608,번3동,LL,다이나믹,105,47,106,52
20231,11305608,번3동,LL,다이나믹,104,47,104,52
20233,11215840,자양3동,LL,다이나믹,99,52,107,52
20232,11215840,자양3동,LL,다이나믹,97,52,106,52
20231,11215840,자양3동,LH,상권확장,95,52,104,52
20233,11215847,자양4동,LL,다이나믹,104,50,107,52
20232,11215847,자양4동,LL,다이나믹,103,50,106,52
20231,11215847,자양4동,LL,다이나믹,104,50,104,52
20233,11215850,구의1동,HL,상권축소,109,50,107,52
20232,11215850,구의1동,HL,상권축소,107,50,106,52
20231,11215850,구의1동,HL,상권축소,106,50,104,52
20233,11215860,구의2동,LH,상권확장,95,55,107,52
20232,11215860,구의2동,LH,상권확장,94,55,106,52
20231,11215860,구의2동,LH,상권확장,92,55,104,52
20233,11215870,구의3동,HH,정체,124,57,107,52
20232,11215870,구의3동,HH,정체,122,57,106,52
20231,11215870,구의3동,HH,정체,119,57,104,52
20233,11230536,용신동,HH,정체,116,53,107,52
20232,11230536,용신동,HH,정체,115,53,106,52
20231,11230536,용신동,HH,정체,112,52,104,52
20233,11230545,제기동,HH,정체,128,62,107,52
20232,11230545,제기동,HH,정체,127,62,106,52
20231,11230545,제기동,HH,정체,126,61,104,52
20233,11230560,전농1동,HH,정체,119,53,107,52
20232,11230560,전농1동,HH,정체,107,52,106,52
20231,11230560,전농1동,HH,정체,105,52,104,52
20233,11230570,전농2동,HH,정체,111,52,107,52
20232,11230570,전농2동,HL,상권축소,110,51,106,52
20231,11230570,전농2동,HH,정체,107,52,104,52
20233,11230600,답십리1동,LH,상권확장,101,52,107,52
20232,11230600,답십리1동,LH,상권확장,99,52,106,52
20231,11230600,답십리1동,LH,상권확장,97,52,104,52
20233,11230610,답십리2동,HH,정체,133,57,107,52
20232,11230610,답십리2동,HH,정체,130,57,106,52
20231,11230610,답십리2동,HH,정체,128,57,104,52
20233,11230650,장안1동,HL,상권축소,111,50,107,52
20232,11230650,장안1동,HL,상권축소,109,50,106,52
20231,11230650,장안1동,HL,상권축소,108,49,104,52
20233,11230660,장안2동,LL,다이나믹,107,49,107,52
20232,11230660,장안2동,LL,다이나믹,105,48,106,52
